,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,team_x,home_code,team_y,away_code,scoreline
396,1913-10-05,Sweden,Denmark,0,10,Friendly,Stockholm,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
453,1915-10-31,Sweden,Denmark,0,2,Friendly,Stockholm,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
480,1916-10-08,Sweden,Denmark,4,0,Friendly,Stockholm,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
505,1917-10-14,Sweden,Denmark,1,2,Friendly,Stockholm,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
527,1918-10-20,Sweden,Denmark,1,2,Friendly,Gothenburg,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
560,1919-10-12,Sweden,Denmark,3,0,Friendly,Stockholm,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
597,1920-10-10,Sweden,Denmark,0,2,Friendly,Stockholm,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
647,1921-10-09,Sweden,Denmark,0,0,Friendly,Stockholm,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
801,1923-10-14,Sweden,Denmark,1,3,Friendly,Stockholm,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
974,1925-06-14,Sweden,Denmark,0,2,Nordic Championship,Stockholm,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
1149,1927-06-19,Sweden,Denmark,0,0,Nordic Championship,Stockholm,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
1334,1929-06-16,Sweden,Denmark,3,2,Nordic Championship,Gothenburg,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
1549,1931-06-28,Sweden,Denmark,3,1,Nordic Championship,Stockholm,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
1730,1933-06-18,Sweden,Denmark,2,3,Nordic Championship,Stockholm,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
1962,1935-06-16,Sweden,Denmark,3,1,Nordic Championship,Gothenburg,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
2191,1937-10-03,Sweden,Denmark,1,2,Nordic Championship,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
2452,1939-10-01,Sweden,Denmark,4,1,Nordic Championship,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
2510,1940-10-06,Sweden,Denmark,1,1,Friendly,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
2561,1941-09-14,Sweden,Denmark,2,2,Friendly,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
2621,1942-10-04,Sweden,Denmark,2,1,Friendly,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
2723,1945-06-24,Sweden,Denmark,2,1,Friendly,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
2745,1945-09-30,Sweden,Denmark,4,1,Friendly,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
2829,1946-10-06,Sweden,Denmark,3,3,Friendly,Gothenburg,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
2923,1947-06-26,Sweden,Denmark,6,1,Friendly,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
3113,1948-10-10,Sweden,Denmark,1,0,Nordic Championship,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
3399,1950-10-15,Sweden,Denmark,4,0,Nordic Championship,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
3595,1952-06-22,Sweden,Denmark,4,3,Nordic Championship,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
3972,1954-10-10,Sweden,Denmark,5,2,Nordic Championship,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
4313,1956-10-21,Sweden,Denmark,1,1,Nordic Championship,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
4738,1958-10-26,Sweden,Denmark,4,4,Nordic Championship,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
5132,1960-10-23,Sweden,Denmark,2,0,Nordic Championship,Gothenburg,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
5598,1962-10-28,Sweden,Denmark,4,2,Nordic Championship,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
6046,1964-06-28,Sweden,Denmark,4,1,Nordic Championship,Malmö,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
6783,1966-11-06,Sweden,Denmark,2,1,Nordic Championship,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
7343,1968-06-27,Sweden,Denmark,2,1,Nordic Championship,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
8065,1970-06-25,Sweden,Denmark,1,1,Nordic Championship,Gothenburg,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
8211,1970-11-15,Cyprus,Russia,1,3,UEFA Euro qualification,Nicosia,Cyprus,False,Cyprus,CYP,Russia,RUS,CYPRUS
8885,1972-06-29,Sweden,Denmark,2,0,Nordic Championship,Malmö,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
10274,1975-09-25,Sweden,Denmark,0,0,Nordic Championship,Malmö,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
10504,1976-05-11,Sweden,Denmark,1,2,Friendly,Gothenburg,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
11105,1977-10-05,Sweden,Denmark,1,0,Friendly,Malmö,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
12176,1980-05-07,Sweden,Denmark,0,1,Nordic Championship,Gothenburg,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
12737,1981-05-14,Sweden,Denmark,1,2,Nordic Championship,Malmö,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
14118,1984-06-06,Sweden,Denmark,0,1,Friendly,Gothenburg,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
15764,1987-08-26,Sweden,Denmark,1,0,Friendly,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
16262,1988-08-31,Sweden,Denmark,1,2,Friendly,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
17418,1990-09-05,Sweden,Denmark,0,1,Friendly,Västerås,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
17777,1991-06-15,Sweden,Denmark,4,0,Scania 100 Tournament,Norrköping,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
17987,1991-11-13,Cyprus,Russia,0,3,UEFA Euro qualification,Larnaca,Cyprus,False,Cyprus,CYP,Russia,RUS,CYPRUS
18271,1992-06-14,Sweden,Denmark,1,0,UEFA Euro,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
21224,1996-08-14,Sweden,Denmark,0,1,Friendly,Gothenburg,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
21759,1997-03-29,Cyprus,Russia,1,1,FIFA World Cup qualification,Paralímni,Cyprus,False,Cyprus,CYP,Russia,RUS,CYPRUS
22752,1998-05-28,Sweden,Denmark,3,0,Friendly,Malmö,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
26913,2003-02-12,Cyprus,Russia,0,1,Cyprus International Tournament,Limassol,Cyprus,False,Cyprus,CYP,Russia,RUS,CYPRUS
31211,2007-09-08,Sweden,Denmark,0,0,UEFA Euro qualification,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
32970,2009-06-06,Sweden,Denmark,0,1,FIFA World Cup qualification,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
35814,2012-06-02,Poland,Andorra,4,0,Friendly,Warsaw,Poland,False,Poland,POL,Andorra,AND,POLAND
39283,2015-11-14,Sweden,Denmark,2,1,UEFA Euro qualification,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
41467,2018-06-02,Sweden,Denmark,0,0,Friendly,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
43018,2019-10-13,Cyprus,Russia,0,5,UEFA Euro qualification,Nicosia,Cyprus,False,Cyprus,CYP,Russia,RUS,CYPRUS
43778,2021-03-28,Poland,Andorra,3,0,FIFA World Cup qualification,Warsaw,Poland,False,Poland,POL,Andorra,AND,POLAND
44303,2021-09-04,Cyprus,Russia,0,2,FIFA World Cup qualification,Nicosia,Cyprus,False,Cyprus,CYP,Russia,RUS,CYPRUS
